["perfection", "science"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["perfection", "https://t.co/ncW6s0bfPn"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
["science"] : 287 => ["https://t.co/ncW6s0bfPn", "Taehyung's"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["science", "Taehyung's"] : 287 : 1.0 : 34.30662020905923
["science", "Taehyung's"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "Taehyung's"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
["science"] : 287 => ["defines", "https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["defines", "science"] : 287 : 1.0 : 34.30662020905923
["defines", "science"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["defines", "https://t.co/ncW6s0bfPn"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
["science"] : 287 => ["https://t.co/ncW6s0bfPn", "proved"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["science", "proved"] : 287 : 1.0 : 34.30662020905923
["science", "proved"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn", "proved"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
["science"] : 287 => ["profile", "https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["https://t.co/ncW6s0bfPn"] : 287 => ["profile", "science"] : 287 : 1.0 : 34.30662020905923
["profile", "science"] : 287 => ["https://t.co/ncW6s0bfPn"] : 287 : 1.0 : 34.30662020905923
["profile", "https://t.co/ncW6s0bfPn"] : 287 => ["science"] : 287 : 1.0 : 34.30662020905923
