[24, 75] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83, 24] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [82, 84] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [82, 75] : 287 : 1.0 : 34.30662020905923
[82, 75] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[82, 84] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [84, 78] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [75, 78] : 287 : 1.0 : 34.30662020905923
[75, 78] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84, 78] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [81, 84] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [81, 75] : 287 : 1.0 : 34.30662020905923
[81, 75] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[81, 84] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [84, 77] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [75, 77] : 287 : 1.0 : 34.30662020905923
[75, 77] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84, 77] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [80, 84] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [80, 75] : 287 : 1.0 : 34.30662020905923
[80, 75] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[80, 84] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [20, 84] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [20, 75] : 287 : 1.0 : 34.30662020905923
[20, 75] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[20, 84] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [84, 76] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [75, 76] : 287 : 1.0 : 34.30662020905923
[75, 76] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84, 76] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [84, 24] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [24, 75] : 287 : 1.0 : 34.30662020905923
[24, 75] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84, 24] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [82, 78] : 287 : 1.0 : 34.30662020905923
[82, 78] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [81, 82] : 287 : 1.0 : 34.30662020905923
[81, 82] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [82, 77] : 287 : 1.0 : 34.30662020905923
[82, 77] : 287 => [75] : 287 : 1.0 : 34.30662020905923
[75] : 287 => [80, 82] : 287 : 1.0 : 34.30662020905923
