[80, 83, 24, 75] : 287 -> [81, 82, 20, 78] : 0 : 1.0
[83, 20, 24, 75] : 287 -> [80, 81, 82, 78] : 0 : 1.0
[81, 82, 75, 78] : 287 -> [80, 83, 20, 24] : 0 : 1.0
[80, 82, 75, 78] : 287 -> [81, 83, 20, 24] : 0 : 1.0
[82, 20, 75, 78] : 287 -> [80, 81, 83, 24] : 0 : 1.0
[82, 24, 75, 78] : 287 -> [80, 81, 83, 20] : 0 : 1.0
[80, 81, 82, 75] : 287 -> [83, 20, 24, 78] : 0 : 1.0
[81, 82, 20, 75] : 287 -> [80, 83, 24, 78] : 0 : 1.0
[81, 82, 24, 75] : 287 -> [80, 83, 20, 78] : 0 : 1.0
[80, 82, 20, 75] : 287 -> [81, 83, 24, 78] : 0 : 1.0
[80, 82, 24, 75] : 287 -> [81, 83, 20, 78] : 0 : 1.0
[82, 20, 24, 75] : 287 -> [80, 81, 83, 78] : 0 : 1.0
[80, 81, 75, 78] : 287 -> [82, 83, 20, 24] : 0 : 1.0
[81, 20, 75, 78] : 287 -> [80, 82, 83, 24] : 0 : 1.0
[81, 24, 75, 78] : 287 -> [80, 82, 83, 20] : 0 : 1.0
[80, 20, 75, 78] : 287 -> [81, 82, 83, 24] : 0 : 1.0
[80, 24, 75, 78] : 287 -> [81, 82, 83, 20] : 0 : 1.0
[20, 24, 75, 78] : 287 -> [80, 81, 82, 83] : 0 : 1.0
[80, 81, 20, 75] : 287 -> [82, 83, 24, 78] : 0 : 1.0
[80, 81, 24, 75] : 287 -> [82, 83, 20, 78] : 0 : 1.0
[81, 20, 24, 75] : 287 -> [80, 82, 83, 78] : 0 : 1.0
[80, 20, 24, 75] : 287 -> [81, 82, 83, 78] : 0 : 1.0
[81, 82, 83, 78] : 287 -> [80, 20, 24, 75] : 0 : 1.0
[80, 82, 83, 78] : 287 -> [81, 20, 24, 75] : 0 : 1.0
[82, 83, 20, 78] : 287 -> [80, 81, 24, 75] : 0 : 1.0
[82, 83, 24, 78] : 287 -> [80, 81, 20, 75] : 0 : 1.0
[80, 81, 82, 83] : 287 -> [20, 24, 75, 78] : 0 : 1.0
[81, 82, 83, 20] : 287 -> [80, 24, 75, 78] : 0 : 1.0
[81, 82, 83, 24] : 287 -> [80, 20, 75, 78] : 0 : 1.0
[80, 82, 83, 20] : 287 -> [81, 24, 75, 78] : 0 : 1.0
[80, 82, 83, 24] : 287 -> [81, 20, 75, 78] : 0 : 1.0
[82, 83, 20, 24] : 287 -> [80, 81, 75, 78] : 0 : 1.0
[80, 81, 83, 78] : 287 -> [82, 20, 24, 75] : 0 : 1.0
[81, 83, 20, 78] : 287 -> [80, 82, 24, 75] : 0 : 1.0
[81, 83, 24, 78] : 287 -> [80, 82, 20, 75] : 0 : 1.0
[80, 83, 20, 78] : 287 -> [81, 82, 24, 75] : 0 : 1.0
[80, 83, 24, 78] : 287 -> [81, 82, 20, 75] : 0 : 1.0
[83, 20, 24, 78] : 287 -> [80, 81, 82, 75] : 0 : 1.0
[80, 81, 83, 20] : 287 -> [82, 24, 75, 78] : 0 : 1.0
[80, 81, 83, 24] : 287 -> [82, 20, 75, 78] : 0 : 1.0
